seed,scenario,node_id,parent,rank,trust,energy,qos_latency,mcs,hop_count,convergence_time,packet_loss_rate
10,lossless,21,22,0.5071,0.498,0.0,0.4071,0.5929,1,0.0,0.0
10,lossless,22,23,0.4714,0.5284,0.0,0.3714,0.6286,1,0.0,0.0
10,lossless,23,24,0.4738,0.4929,0.0,0.3738,0.6262,1,0.0,0.0
10,lossless,24,25,0.4826,0.4792,0.0,0.3826,0.6174,1,0.0,0.0
10,lossless,25,20,0.5767,0.5078,0.0057,0.3767,0.6233,2,0.0,0.0
11,lossless,2,1,0.395,0.5233,0.0045,0.295,0.705,1,0.0,0.0
11,lossless,3,4,0.4754,0.4791,0.0428,0.3754,0.6246,1,0.0,0.0
11,lossless,4,5,0.4708,0.5085,0.0,0.3708,0.6292,1,0.0,0.0
11,lossless,5,9,0.5021,0.282,0.0,0.4021,0.5979,1,0.0,0.0
11,lossless,6,1,0.4186,0.5095,0.0592,0.3186,0.6814,1,0.0,0.0
11,lossless,7,8,0.4845,0.4965,0.0,0.3845,0.6155,1,0.0,0.0
11,lossless,8,9,0.4793,0.5009,0.0419,0.3793,0.6207,1,0.0,0.0
11,lossless,9,10,0.4859,0.4477,0.0385,0.3859,0.6141,1,0.0,0.0
11,lossless,10,15,0.4833,0.4997,0.0089,0.3833,0.6167,1,0.0,0.0
11,lossless,11,12,0.4796,0.4805,0.0,0.3796,0.6204,1,0.0,0.0
11,lossless,12,13,0.4569,0.5034,0.0,0.3569,0.6431,1,0.0,0.0
11,lossless,13,14,0.4764,0.5355,0.0,0.3764,0.6236,1,0.0,0.0
11,lossless,14,15,0.4803,0.4997,0.0278,0.3803,0.6197,1,0.0,0.0
11,lossless,15,20,0.4832,0.4761,0.0069,0.3832,0.6168,1,0.0,0.0
11,lossless,16,17,0.4867,0.5088,0.0,0.3867,0.6133,1,0.0,0.0
11,lossless,17,18,0.472,0.5053,0.0036,0.372,0.628,1,0.0,0.0
11,lossless,18,19,0.4621,0.512,0.0,0.3621,0.6379,1,0.0,0.0
11,lossless,19,20,0.4503,0.4998,0.0149,0.3503,0.6497,1,0.0,0.0
11,lossless,20,25,0.4666,0.474,0.025,0.3666,0.6334,1,0.0,0.0
11,lossless,21,22,0.4776,0.4535,0.0354,0.3776,0.6224,1,0.0,0.0
11,lossless,22,23,0.4568,0.5027,0.0598,0.3568,0.6432,1,0.0,0.0
11,lossless,23,24,0.4949,0.4453,0.0,0.3949,0.6051,1,0.0,0.0
11,lossless,24,25,0.4533,0.5084,0.0102,0.3533,0.6467,1,0.0,0.0
11,lossless,25,20,0.5635,0.5144,0.0218,0.3635,0.6365,2,0.0,0.0
12,lossless,2,1,0.429,0.5449,0.0258,0.329,0.671,1,0.0,0.0
12,lossless,3,4,0.4586,0.5075,0.0,0.3586,0.6414,1,0.0,0.0
12,lossless,4,5,0.4734,0.5295,0.0173,0.3734,0.6266,1,0.0,0.0
12,lossless,5,10,0.4781,0.5372,0.0,0.3781,0.6219,1,0.0,0.0
12,lossless,6,1,0.4382,0.4826,0.0334,0.3382,0.6618,1,0.0,0.0
12,lossless,7,8,0.4888,0.5205,0.0,0.3888,0.6112,1,0.0,0.0
12,lossless,8,9,0.4773,0.5059,0.0264,0.3773,0.6227,1,0.0,0.0
12,lossless,9,10,0.4862,0.5113,0.0,0.3862,0.6138,1,0.0,0.0
12,lossless,10,15,0.4815,0.5198,0.0,0.3815,0.6185,1,0.0,0.0
12,lossless,11,12,0.4947,0.4929,0.0,0.3947,0.6053,1,0.0,0.0
12,lossless,12,13,0.4762,0.5092,0.0063,0.3762,0.6238,1,0.0,0.0
12,lossless,13,14,0.4877,0.5173,0.0,0.3877,0.6123,1,0.0,0.0
12,lossless,14,15,0.4677,0.5233,0.0,0.3677,0.6323,1,0.0,0.0
12,lossless,15,20,0.4847,0.5165,0.0517,0.3847,0.6153,1,0.0,0.0
12,lossless,16,17,0.4827,0.5475,0.0622,0.3827,0.6173,1,0.0,0.0
12,lossless,17,18,0.4574,0.5108,0.0,0.3574,0.6426,1,0.0,0.0
12,lossless,18,19,0.4768,0.5194,0.0,0.3768,0.6232,1,0.0,0.0
12,lossless,19,20,0.4811,0.5143,0.0,0.3811,0.6189,1,0.0,0.0
12,lossless,20,25,0.4855,0.4944,0.0,0.3855,0.6145,1,0.0,0.0
12,lossless,21,22,0.4658,0.4786,0.0411,0.3658,0.6342,1,0.0,0.0
12,lossless,22,23,0.4779,0.5063,0.0,0.3779,0.6221,1,0.0,0.0
12,lossless,23,24,0.488,0.4972,0.0,0.388,0.612,1,0.0,0.0
12,lossless,24,25,0.487,0.502,0.0147,0.387,0.613,1,0.0,0.0
