scenario,seed,timestamp,node_id,parent,rank,trust,energy,qos_latency,mcs,hop_count,convergence_time,packet_loss_rate
mixed_attack_energy,0,51.0,24,30,0.5286,0.4277,0.0,0.4286,0.5714,1,0.0,0.0796
mixed_attack_energy,0,51.0,25,26,0.5338,0.4582,0.0,0.4338,0.5662,1,0.0,0.0796
mixed_attack_energy,0,51.0,26,27,0.5314,0.4792,0.0,0.4314,0.5686,1,0.0,0.0796
mixed_attack_energy,0,51.0,27,28,0.537,0.4765,0.0,0.437,0.563,1,0.0,0.0796
mixed_attack_energy,0,51.0,28,29,0.5543,0.4672,0.0,0.4543,0.5457,1,0.0,0.0796
mixed_attack_energy,0,51.0,29,30,0.5543,0.4589,0.0,0.4543,0.5457,1,0.0,0.0796
mixed_attack_energy,0,51.0,30,36,0.5435,0.4954,0.0,0.4435,0.5565,1,0.0,0.0796
mixed_attack_energy,0,51.0,31,32,0.529,0.444,0.0,0.429,0.571,1,0.0,0.0796
mixed_attack_energy,0,51.0,32,33,0.5367,0.4711,0.0,0.4367,0.5633,1,0.0,0.0796
mixed_attack_energy,0,51.0,33,34,0.5482,0.5173,0.0,0.4482,0.5518,1,0.0,0.0796
mixed_attack_energy,0,51.0,34,28,0.6277,0.4548,0.0,0.4277,0.5723,2,0.0,0.0796
mixed_attack_energy,0,51.0,35,36,0.5486,0.4964,0.0,0.4486,0.5514,1,0.0,0.0796
mixed_attack_energy,0,51.0,36,30,0.6388,0.4424,0.0,0.4388,0.5612,2,0.0,0.0796
mixed_attack_energy,0,61.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
mixed_attack_energy,0,61.0,2,1,0.464,0.369,0.0,0.364,0.636,1,0.0,0.0799
mixed_attack_energy,0,61.0,3,4,0.5346,0.2346,0.0,0.4346,0.5654,1,0.0,0.0799
mixed_attack_energy,0,61.0,4,5,0.5318,0.506,0.0,0.4318,0.5682,1,0.0,0.0799
mixed_attack_energy,0,61.0,5,6,0.5655,0.4921,0.0,0.4655,0.5345,1,0.0,0.0799
mixed_attack_energy,0,61.0,6,12,0.5467,0.4715,0.0,0.4467,0.5533,1,0.0,0.0799
mixed_attack_energy,0,61.0,7,1,0.4649,0.5,0.0,0.3649,0.6351,1,0.0,0.0799
mixed_attack_energy,0,61.0,8,1,0.5899,0.2647,0.0,0.4899,0.5101,1,0.0,0.0799
mixed_attack_energy,0,61.0,9,10,0.5295,0.5118,0.0,0.4295,0.5705,1,0.0,0.0799
mixed_attack_energy,0,61.0,10,11,0.5291,0.4733,0.0,0.4291,0.5709,1,0.0,0.0799
mixed_attack_energy,0,61.0,11,17,0.5288,0.5106,0.0,0.4288,0.5712,1,0.0,0.0799
mixed_attack_energy,0,61.0,12,18,0.5454,0.4954,0.0,0.4454,0.5546,1,0.0,0.0799
mixed_attack_energy,0,61.0,13,14,0.54,0.3918,0.0,0.44,0.56,1,0.0,0.0799
mixed_attack_energy,0,61.0,14,15,0.5141,0.4816,0.0,0.4141,0.5859,1,0.0,0.0799
mixed_attack_energy,0,61.0,15,16,0.5373,0.5112,0.0,0.4373,0.5627,1,0.0,0.0799
mixed_attack_energy,0,61.0,16,17,0.5295,0.4726,0.0,0.4295,0.5705,1,0.0,0.0799
mixed_attack_energy,0,61.0,17,18,0.5498,0.4556,0.0,0.4498,0.5502,1,0.0,0.0799
mixed_attack_energy,0,61.0,18,24,0.5334,0.4933,0.0,0.4334,0.5666,1,0.0,0.0799
mixed_attack_energy,0,61.0,19,20,0.5438,0.481,0.0,0.4438,0.5562,1,0.0,0.0799
mixed_attack_energy,0,61.0,20,21,0.5274,0.3863,0.0,0.4274,0.5726,1,0.0,0.0799
mixed_attack_energy,0,61.0,21,27,0.5196,0.3775,0.0,0.4196,0.5804,1,0.0,0.0799
mixed_attack_energy,0,61.0,22,23,0.5599,0.5224,0.0,0.4599,0.5401,1,0.0,0.0799
mixed_attack_energy,0,61.0,23,24,0.5346,0.4992,0.0,0.4346,0.5654,1,0.0,0.0799
mixed_attack_energy,0,61.0,24,30,0.5286,0.4525,0.0,0.4286,0.5714,1,0.0,0.0799
mixed_attack_energy,0,61.0,25,26,0.5338,0.4964,0.0,0.4338,0.5662,1,0.0,0.0799
mixed_attack_energy,0,61.0,26,27,0.5314,0.3956,0.0,0.4314,0.5686,1,0.0,0.0799
mixed_attack_energy,0,61.0,27,28,0.537,0.4942,0.0,0.437,0.563,1,0.0,0.0799
mixed_attack_energy,0,61.0,28,29,0.5543,0.461,0.0,0.4543,0.5457,1,0.0,0.0799
mixed_attack_energy,0,61.0,29,30,0.5543,0.4443,0.0,0.4543,0.5457,1,0.0,0.0799
mixed_attack_energy,0,61.0,30,36,0.5435,0.5035,0.0,0.4435,0.5565,1,0.0,0.0799
mixed_attack_energy,0,61.0,31,32,0.529,0.4584,0.0,0.429,0.571,1,0.0,0.0799
mixed_attack_energy,0,61.0,32,33,0.5367,0.4408,0.0,0.4367,0.5633,1,0.0,0.0799
